subj_idx,category,stim,response,accuracy,rt,age
11012,1,0,1,1,1.315,0
11012,1,1,2,1,0.872,0
11012,1,1,2,1,0.764,0
11012,1,1,2,1,0.654,0
11012,1,0,1,1,1.213,0
11012,1,1,2,1,1.386,0
11012,1,0,1,1,0.652,0
11012,1,1,2,1,0.794,0
11012,1,0,1,1,0.876,0
11012,1,0,1,1,1.296,0
11012,1,1,2,1,0.823,0
11012,1,1,2,1,0.894,0
11012,1,0,1,1,0.737,0
11012,1,0,1,1,0.645,0
11012,1,1,2,1,0.996,0
11012,1,0,1,1,0.608,0
11012,1,0,1,1,0.578,0
11018,3,0,2,1,1.261,0
11018,3,1,1,1,0.784,0
11018,3,1,2,0,1.35,0
11018,3,0,2,1,0.817,0
11018,3,0,2,1,0.711,0
11018,3,0,2,1,0.838,0
11018,3,0,2,1,0.892,0
11018,3,0,2,1,0.759,0
11018,3,0,2,1,1.069,0
11018,3,1,1,1,1.41,0
11018,3,1,1,1,1.044,0
11018,3,1,1,1,0.862,0
11018,3,1,1,1,0.868,0
11018,3,1,1,0,1,0
11018,3,1,1,1,1.873,0
11018,3,0,2,1,0.587,0
11018,3,1,1,1,0.986,0
11018,3,1,1,1,2.033,0
11018,3,1,1,1,0.813,0
11018,3,0,2,1,1.115,0
11018,3,0,2,1,1.324,0
11018,3,1,1,1,1.037,0
11018,3,0,2,1,0.936,0
11018,3,0,2,1,1.068,0
11018,3,0,2,1,1.015,0
11018,3,1,1,1,1.075,0
11018,3,1,2,0,2.186,0
11018,3,1,1,1,1.243,0
11018,3,1,1,1,0.885,0
11018,1,0,2,1,1.222,0
11018,1,1,1,1,0.904,0
11018,1,0,2,1,0.868,0
11018,1,1,1,1,1.15,0
11018,1,1,1,1,0.939,0
11018,1,0,2,1,1.173,0
11018,1,0,2,1,1.046,0
11018,1,1,1,1,0.891,0
11018,1,0,2,1,0.795,0
11018,1,1,1,1,1.25,0
11018,1,1,1,1,0.872,0
11018,1,1,1,1,0.724,0
11018,1,0,2,1,1.005,0
11018,1,1,2,0,2.227,0
11018,1,0,2,1,0.881,0
11018,1,1,1,1,0.981,0
11018,1,0,2,1,0.796,0
11018,1,0,2,1,0.847,0
11018,1,0,2,1,0.858,0
11018,1,0,2,1,0.892,0
11018,1,0,2,1,0.722,0
11018,1,1,1,1,0.841,0
11018,1,0,2,1,0.514,0
11018,1,1,1,1,0.786,0
11018,1,1,1,1,1.004,0
11018,1,1,1,1,0.974,0
11018,1,1,2,0,1.14,0
11018,1,0,2,1,0.817,0
11018,1,0,1,0,2.046,0
11018,1,1,1,1,1.085,0
11018,2,0,2,1,0.739,0
11018,2,1,2,0,2.203,0
11018,2,0,2,1,1.035,0
11018,2,1,1,1,1.176,0
11018,2,0,2,1,1.018,0
11018,2,1,1,1,1.24,0
11018,2,1,1,1,2.115,0
11018,2,1,1,1,0.908,0
11018,2,0,2,1,0.956,0
11018,2,1,1,1,0.99,0
11018,2,0,2,1,1.323,0
11018,2,0,2,1,0.718,0
11018,2,1,1,1,1.321,0
11018,2,0,2,1,1.07,0
11018,2,1,2,0,1.826,0
11018,2,1,1,1,0.973,0
11018,2,1,1,1,0.826,0
11018,2,0,2,1,0.993,0
11018,2,1,1,1,0.845,0
